
MONTHLY PREMIUM, DEDUCTIBLE, AND LIMITS ON HOW MUCH YOU PAY FOR COVERED
SERVICES
Monthly Plan Premium|You pay $0 per month. You must continue to pay your Medicare Part B premium.
Diabetes Supplies and Services ‐ Diabetes Monitoring Supplies ‐ Diabetes self- management training ‐ Therapeutic shoes or inserts|In-Network: Diabetes monitoring supplies • 0% or 20% of the total cost. Diabetes self-management training • $0 copay Therapeutic shoes or inserts • 20% of the total cost Out-of-Network: Diabetes monitoring supplies • 20% of the total cost Diabetes self-management training • $0 copay Therapeutic shoes or inserts • 20% of the total cost
Durable Medical Equipment|In-Network:
(wheelchairs, oxygen, etc.)|• 20% of the total cost Out-of-Network: • 20% of the total cost
Wellness Programs|$0 copay for SilverSneakers®† Fitness Program SilverSneakers can help you live a healthier, more active life through fitness and social connection. You are covered for a fitness benefit through SilverSneakers online and at participating locations1. You have access to a nationwide network of participating locations where you can take classes2 and use exercise equipment and other amenities. Enroll in as many locations as you like, at any time. You also have access to instructors who lead specially designed group exercise classes in-person and online, seven days a week. Additionally, SilverSneakers Community gives you options to get active outside of traditional gyms at recreation centers, parks and other neighborhood locations. SilverSneakers also connects you to a support network and online resources through SilverSneakers LIVE classes, SilverSneakers On-Demand videos and the SilverSneakers GO mobile app. Activate your free online account at SilverSneakers.com to view your SilverSneakers Member ID number, and all program features available to you at no additional cost. For additional questions, go to SilverSneakers.com or call 1-888-423-4632 (TTY: ) Monday through Friday, 8 a.m. to 8 p.m. ET. Always talk with your doctor before starting an exercise program. 1. Participating locations (“PL”) are not owned or operated by Tivity Health, Inc. or its affiliates. Use of PL facilities and amenities is limited to terms and conditions of PL basic membership. Facilities and amenities vary by PL. 2. Membership includes SilverSneakers instructor-led group fitness classes. Some locations offer members additional classes. Classes vary by location. Blue Cross®, Blue Shield® and the Cross and Shield Symbols are registered service marks of the Blue Cross and Blue Shield Association, an association of independent Blue Cross and Blue Shield Plans. SilverSneakers is a registered trademark of Tivity Health, Inc. © 2023 Tivity Health, Inc. All rights reserved.
Foot Care (podiatry services)|Medicare-covered foot exams and treatment if you have diabetes-related nerve damage and/or meet certain conditions In-Network: • $40 copayOut-of-Network: • $75 copay
Home Health Care|In-Network: • $0 copay Out-of-Network: • 50% of the total cost
Opioid Treatment Program Services|In-Network: • $50 copay Out-of-Network: • $75 copay
Outpatient Substance Abuse Services|In-Network: Group therapy visit • $75 copay Individual therapy visit • $75 copay Out-of-Network: Group therapy visit • $100 copay Individual therapy visit • $100 copay
Over-the-Counter Items|Not Covered
Prosthetic Devices (braces, artificial limbs, etc.)|In-Network: Prosthetic devices • 20% of the total costRelated medical supplies • 20% of the total cost Out-of-Network: Prosthetic devices • 20% of the total cost Related medical supplies • 20% of the total cost
Meals|Not Covered
Renal Dialysis|In-Network: • 20% of the total cost Out-of-Network: • 50% of the total cost
Telehealth Services|• $0 copay for urgent care visits through MDLive
Hospice|You pay nothing for hospice care from a Medicare-certified hospice. You may have to pay part of the total costs for drugs and respite care. Hospice is covered outside of our plan. Please contact us for more details.Blue Cross Medicare Advantage Protect (PPO)SMNone
OSB Package o Monthly Premium|• You pay additional $25.40 per month o Dental
